area_code,WOPP0040_P,WOPP4060_P,WOPP6080_P,WOPP80100_P,WOPP100PLUS_P,WOPPONB_P,WHUURTSLG_P,WHUURMIDDEN_P,WHUURHOOG_P,WCORHUUR_P,WPARTHUUR_P,area_name
DX01,16.0,31.8,21.9,11.7,16.7,1.9,49.0,5.0,14.0,29.7,40.2,Centrum-West
DX02,12.4,25.4,24.4,16.2,19.5,2.0,45.0,4.0,14.0,34.1,31.3,Centrum-Oost
DX03,16.8,40.1,21.1,14.5,7.0,0.5,58.0,4.0,7.0,48.5,22.2,Westerpark
DX04,8.0,54.3,20.2,11.2,6.2,0.0,59.0,5.0,6.0,47.4,24.7,Bos en Lommer
DX05,6.1,51.0,25.2,8.6,8.7,0.3,53.0,6.0,11.0,33.0,35.5,"Oud West, De Baarsjes"
DX06,8.8,28.8,33.2,18.1,11.0,0.1,61.0,8.0,2.0,66.6,10.2,"Geuzenveld, Slotermeer, Sloterdijken"
DX07,3.5,18.7,36.2,23.6,17.6,0.4,57.0,5.0,4.0,55.2,14.5,Osdorp
DX08,0.6,1.1,16.2,36.7,45.2,0.2,24.0,12.0,7.0,24.7,23.0,"De Aker, Sloten, Nieuw-Sloten"
DX09,10.4,15.0,30.7,25.7,17.3,0.8,53.0,11.0,11.0,46.5,29.7,Slotervaart
DX10,2.9,32.9,21.0,11.0,32.0,0.1,37.0,8.0,15.0,19.3,43.4,Oud-Zuid
DX11,13.0,8.6,35.3,17.4,25.3,0.4,38.0,7.0,13.0,23.6,38.5,"Buitenveldert, Zuidas"
DX12,8.3,39.6,29.9,13.4,8.5,0.2,56.0,6.0,12.0,34.6,39.3,"De Pijp, Rivierenbuurt"
DX13,10.1,34.6,30.6,14.2,9.9,0.6,60.0,4.0,7.0,54.4,18.0,Oud-Oost
DX14,4.4,26.3,25.3,25.8,17.9,0.3,49.0,5.0,13.0,50.9,16.9,"Indische Buurt, Oostelijk Havengebied"
DX15,27.1,15.4,25.1,17.2,14.7,0.5,60.0,5.0,9.0,35.6,39.8,Watergraafsmeer
DX16,11.5,2.2,10.9,29.7,45.4,0.3,38.0,6.0,10.0,35.7,24.4,"IJburg, Zeeburgereiland"
DX17,3.0,18.7,33.8,28.6,15.7,0.2,55.0,7.0,1.0,59.9,7.2,Noord-West
DX18,10.3,38.7,27.6,14.5,8.6,0.2,71.0,5.0,3.0,69.8,11.9,Oud-Noord
DX19,1.8,12.8,41.5,26.6,17.0,0.4,50.0,8.0,3.0,53.0,12.6,Noord-Oost
DX20,23.6,16.0,24.6,24.2,11.4,0.1,76.0,3.0,1.0,58.8,21.7,"Bijlmer-Centrum, Amstel III"
DX21,5.2,13.2,23.5,31.0,26.9,0.2,56.0,9.0,2.0,55.9,13.8,Bijlmer-Oost
DX22,2.7,13.2,38.2,35.1,9.7,1.1,51.0,13.0,1.0,54.9,13.6,"Gaasperdam, Driemond"
